Date,City,Fuel_Type,RSP
2025-05-29,Mumbai,Diesel,90.03
2025-05-29,Chennai,Diesel,92.39
2025-05-29,Kolkata,Diesel,92.02
2025-05-28,Delhi,Petrol,94.77
2025-05-28,Mumbai,Petrol,103.5
2025-05-28,Chennai,Petrol,100.8
2025-05-28,Kolkata,Petrol,105.41
2025-05-28,Delhi,Diesel,87.67
2025-05-28,Mumbai,Diesel,90.03
2025-05-28,Chennai,Diesel,92.39
2025-05-28,Kolkata,Diesel,92.02
2025-05-27,Delhi,Petrol,94.77
2025-05-27,Mumbai,Petrol,103.5
2025-05-27,Chennai,Petrol,100.8
2025-05-27,Kolkata,Petrol,105.41
2025-05-27,Delhi,Diesel,87.67
2025-05-27,Mumbai,Diesel,90.03
2025-05-27,Chennai,Diesel,92.39
2025-05-27,Kolkata,Diesel,92.02
2025-05-26,Delhi,Petrol,94.77
2025-05-26,Mumbai,Petrol,103.5
2025-05-26,Chennai,Petrol,100.8
2025-05-26,Kolkata,Petrol,105.41
2025-05-26,Delhi,Diesel,87.67
2025-05-26,Mumbai,Diesel,90.03
2025-05-26,Chennai,Diesel,92.39
2025-05-26,Kolkata,Diesel,92.02
2025-05-25,Delhi,Petrol,94.77
2025-05-25,Mumbai,Petrol,103.5
2025-05-25,Chennai,Petrol,100.8
2025-05-25,Kolkata,Petrol,105.41
2025-05-25,Delhi,Diesel,87.67
2025-05-25,Mumbai,Diesel,90.03
2025-05-25,Chennai,Diesel,92.39
2025-05-25,Kolkata,Diesel,92.02
2025-05-24,Delhi,Petrol,94.77
2025-05-24,Mumbai,Petrol,103.5
2025-05-24,Chennai,Petrol,100.8
2025-05-24,Kolkata,Petrol,105.41
2025-05-24,Delhi,Diesel,87.67
2025-05-24,Mumbai,Diesel,90.03
2025-05-24,Chennai,Diesel,92.39
2025-05-24,Kolkata,Diesel,92.02
2025-05-23,Delhi,Petrol,94.77
2025-05-23,Mumbai,Petrol,103.5
2025-05-23,Chennai,Petrol,100.8
2025-05-23,Kolkata,Petrol,105.41
2025-05-23,Delhi,Diesel,87.67
2025-05-23,Mumbai,Diesel,90.03
2025-05-23,Chennai,Diesel,92.39
2025-05-23,Kolkata,Diesel,92.02
2025-05-22,Delhi,Petrol,94.77
2025-05-22,Mumbai,Petrol,103.5
2025-05-22,Chennai,Petrol,100.8
2025-05-22,Kolkata,Petrol,105.41
2025-05-22,Delhi,Diesel,87.67
2025-05-22,Mumbai,Diesel,90.03
2025-05-22,Chennai,Diesel,92.39
2025-05-22,Kolkata,Diesel,92.02
2025-05-21,Delhi,Petrol,94.77
2025-05-21,Mumbai,Petrol,103.5
2025-05-21,Chennai,Petrol,100.8
2025-05-21,Kolkata,Petrol,105.41
2025-05-21,Delhi,Diesel,87.67
2025-05-21,Mumbai,Diesel,90.03
2025-05-21,Chennai,Diesel,92.39
2025-05-21,Kolkata,Diesel,92.02
2025-05-20,Delhi,Petrol,94.77
2025-05-20,Mumbai,Petrol,103.5
2025-05-20,Chennai,Petrol,100.8
2025-05-20,Kolkata,Petrol,105.41
2025-05-20,Delhi,Diesel,87.67
2025-05-20,Mumbai,Diesel,90.03
2025-05-20,Chennai,Diesel,92.39
2025-05-20,Kolkata,Diesel,92.02
2025-05-19,Delhi,Petrol,94.77
2025-05-19,Mumbai,Petrol,103.5
2025-05-19,Chennai,Petrol,100.8
2025-05-19,Kolkata,Petrol,105.41
2025-05-19,Delhi,Diesel,87.67
2025-05-19,Mumbai,Diesel,90.03
2025-05-19,Chennai,Diesel,92.39
2025-05-19,Kolkata,Diesel,92.02
2025-05-18,Delhi,Petrol,94.77
2025-05-18,Mumbai,Petrol,103.5
2025-05-18,Chennai,Petrol,100.8
2025-05-18,Kolkata,Petrol,105.41
2025-05-18,Delhi,Diesel,87.67
2025-05-18,Mumbai,Diesel,90.03
2025-05-18,Chennai,Diesel,92.39
2025-05-18,Kolkata,Diesel,92.02
2025-05-17,Delhi,Petrol,94.77
2025-05-17,Mumbai,Petrol,103.5
2025-05-17,Chennai,Petrol,100.8
2025-05-17,Kolkata,Petrol,105.41
2025-05-17,Delhi,Diesel,87.67
2025-05-17,Mumbai,Diesel,90.03
2025-05-17,Chennai,Diesel,92.39
2025-05-17,Kolkata,Diesel,92.02
2025-05-16,Delhi,Petrol,94.77
2025-05-16,Mumbai,Petrol,103.5
2025-05-16,Chennai,Petrol,100.8
2025-05-16,Kolkata,Petrol,105.41
2025-05-16,Delhi,Diesel,87.67
2025-05-16,Mumbai,Diesel,90.03
2025-05-16,Chennai,Diesel,92.39
2025-05-16,Kolkata,Diesel,92.02
2025-05-15,Delhi,Petrol,94.77
2025-05-15,Mumbai,Petrol,103.5
2025-05-15,Chennai,Petrol,100.8
2025-05-15,Kolkata,Petrol,105.41
2025-05-15,Delhi,Diesel,87.67
2025-05-15,Mumbai,Diesel,90.03
2025-05-15,Chennai,Diesel,92.39
2025-05-15,Kolkata,Diesel,92.02
2025-05-14,Delhi,Petrol,94.77
2025-05-14,Mumbai,Petrol,103.5
2025-05-14,Chennai,Petrol,100.8
2025-05-14,Kolkata,Petrol,105.41
2025-05-14,Delhi,Diesel,87.67
2025-05-14,Mumbai,Diesel,90.03
2025-05-14,Chennai,Diesel,92.39
2025-05-14,Kolkata,Diesel,92.02
2025-05-13,Delhi,Petrol,94.77
2025-05-13,Mumbai,Petrol,103.5
2025-05-13,Chennai,Petrol,100.8
2025-05-13,Kolkata,Petrol,105.41
2025-05-13,Delhi,Diesel,87.67
2025-05-13,Mumbai,Diesel,90.03
2025-05-13,Chennai,Diesel,92.39
2025-05-13,Kolkata,Diesel,92.02
2025-05-12,Delhi,Petrol,94.77
2025-05-12,Mumbai,Petrol,103.5
2025-05-12,Chennai,Petrol,100.8
2025-05-12,Kolkata,Petrol,105.41
2025-05-12,Delhi,Diesel,87.67
2025-05-12,Mumbai,Diesel,90.03
2025-05-12,Chennai,Diesel,92.39
2025-05-12,Kolkata,Diesel,92.02
2025-05-11,Delhi,Petrol,94.77
2025-05-11,Mumbai,Petrol,103.5
2025-05-11,Chennai,Petrol,100.8
2025-05-11,Kolkata,Petrol,105.01
2025-05-11,Delhi,Diesel,87.67
2025-05-11,Mumbai,Diesel,90.03
2025-05-11,Chennai,Diesel,92.39
2025-05-11,Kolkata,Diesel,91.82
2025-05-10,Delhi,Petrol,94.77
2025-05-10,Mumbai,Petrol,103.5
2025-05-10,Chennai,Petrol,100.8
2025-05-10,Kolkata,Petrol,105.01
2025-05-10,Delhi,Diesel,87.67
2025-05-10,Mumbai,Diesel,90.03
2025-05-10,Chennai,Diesel,92.39
2025-05-10,Kolkata,Diesel,91.82
2025-05-09,Delhi,Petrol,94.77
2025-05-09,Mumbai,Petrol,103.5
2025-05-09,Chennai,Petrol,100.8
2025-05-09,Kolkata,Petrol,105.01
2025-05-09,Delhi,Diesel,87.67
2025-05-09,Mumbai,Diesel,90.03
2025-05-09,Chennai,Diesel,92.39
2025-05-09,Kolkata,Diesel,91.82
2025-05-08,Delhi,Petrol,94.77
2025-05-08,Mumbai,Petrol,103.5
2025-05-08,Chennai,Petrol,100.8
2025-05-08,Kolkata,Petrol,105.01
2025-05-08,Delhi,Diesel,87.67
2025-05-08,Mumbai,Diesel,90.03
2025-05-08,Chennai,Diesel,92.39
2025-05-08,Kolkata,Diesel,91.82
2025-05-07,Delhi,Petrol,94.77
2025-05-07,Mumbai,Petrol,103.5
2025-05-07,Chennai,Petrol,100.8
2025-05-07,Kolkata,Petrol,105.01
2025-05-07,Delhi,Diesel,87.67
2025-05-07,Mumbai,Diesel,90.03
2025-05-07,Chennai,Diesel,92.39
2025-05-07,Kolkata,Diesel,91.82
2025-05-06,Delhi,Petrol,94.77
2025-05-06,Mumbai,Petrol,103.5
2025-05-06,Chennai,Petrol,100.8
2025-05-06,Kolkata,Petrol,105.01
2025-05-06,Delhi,Diesel,87.67
2025-05-06,Mumbai,Diesel,90.03
2025-05-06,Chennai,Diesel,92.39
2025-05-06,Kolkata,Diesel,91.82
2025-05-05,Delhi,Petrol,94.77
2025-05-05,Mumbai,Petrol,103.5
2025-05-05,Chennai,Petrol,100.8
2025-05-05,Kolkata,Petrol,105.01
2025-05-05,Delhi,Diesel,87.67
2025-05-05,Mumbai,Diesel,90.03
2025-05-05,Chennai,Diesel,92.39
2025-05-05,Kolkata,Diesel,91.82
2025-05-04,Delhi,Petrol,94.77
2025-05-04,Mumbai,Petrol,103.5
2025-05-04,Chennai,Petrol,100.8
2025-05-04,Kolkata,Petrol,105.01
2025-05-04,Delhi,Diesel,87.67
2025-05-04,Mumbai,Diesel,90.03
2025-05-04,Chennai,Diesel,92.39
2025-05-04,Kolkata,Diesel,91.82
2025-05-03,Delhi,Petrol,94.77
2025-05-03,Mumbai,Petrol,103.5
2025-05-03,Chennai,Petrol,100.8
2025-05-03,Kolkata,Petrol,105.01
2025-05-03,Delhi,Diesel,87.67
2025-05-03,Mumbai,Diesel,90.03
2025-05-03,Chennai,Diesel,92.39
2025-05-03,Kolkata,Diesel,91.82
2025-05-02,Delhi,Petrol,94.77
2025-05-02,Mumbai,Petrol,103.5
2025-05-02,Chennai,Petrol,100.8
2025-05-02,Kolkata,Petrol,105.01
2025-05-02,Delhi,Diesel,87.67
2025-05-02,Mumbai,Diesel,90.03
2025-05-02,Chennai,Diesel,92.39
2025-05-02,Kolkata,Diesel,91.82
2025-05-01,Delhi,Petrol,94.77
2025-05-01,Mumbai,Petrol,103.5
2025-05-01,Chennai,Petrol,100.8
2025-05-01,Kolkata,Petrol,105.01
2025-05-01,Delhi,Diesel,87.67
2025-05-01,Mumbai,Diesel,90.03
2025-05-01,Chennai,Diesel,92.39
2025-05-01,Kolkata,Diesel,91.82
2025-04-30,Delhi,Petrol,94.77
2025-04-30,Mumbai,Petrol,103.5
2025-04-30,Chennai,Petrol,100.8
2025-04-30,Kolkata,Petrol,105.01
2025-04-30,Delhi,Diesel,87.67
2025-04-30,Mumbai,Diesel,90.03
2025-04-30,Chennai,Diesel,92.39
2025-04-30,Kolkata,Diesel,91.82
2025-04-29,Delhi,Petrol,94.77
2025-04-29,Mumbai,Petrol,103.5
2025-04-29,Chennai,Petrol,100.8
2025-04-29,Kolkata,Petrol,105.01
2025-04-29,Delhi,Diesel,87.67
2025-04-29,Mumbai,Diesel,90.03
2025-04-29,Chennai,Diesel,92.39
2025-04-29,Kolkata,Diesel,91.82
2025-04-28,Delhi,Petrol,94.77
2025-04-28,Mumbai,Petrol,103.5
2025-04-28,Chennai,Petrol,100.8
2025-04-28,Kolkata,Petrol,105.01
2025-04-28,Delhi,Diesel,87.67
2025-04-28,Mumbai,Diesel,90.03
2025-04-28,Chennai,Diesel,92.39
2025-04-28,Kolkata,Diesel,91.82
2025-04-27,Delhi,Petrol,94.77
2025-04-27,Mumbai,Petrol,103.5
2025-04-27,Chennai,Petrol,100.8
2025-04-27,Kolkata,Petrol,105.01
2025-04-27,Delhi,Diesel,87.67
2025-04-27,Mumbai,Diesel,90.03
2025-04-27,Chennai,Diesel,92.39
2025-04-27,Kolkata,Diesel,91.82
2025-04-26,Delhi,Petrol,94.77
2025-04-26,Mumbai,Petrol,103.5
2025-04-26,Chennai,Petrol,100.8
2025-04-26,Kolkata,Petrol,105.01
2025-04-26,Delhi,Diesel,87.67
2025-04-26,Mumbai,Diesel,90.03
2025-04-26,Chennai,Diesel,92.39
2025-04-26,Kolkata,Diesel,91.82
2025-04-24,Delhi,Petrol,94.77
2025-04-24,Mumbai,Petrol,103.5
2025-04-24,Chennai,Petrol,100.8
2025-04-24,Kolkata,Petrol,105.01
2025-04-24,Delhi,Diesel,87.67
2025-04-24,Mumbai,Diesel,90.03
2025-04-24,Chennai,Diesel,92.39
2025-04-24,Kolkata,Diesel,91.82
2025-04-23,Delhi,Petrol,94.77
2025-04-23,Mumbai,Petrol,103.5
2025-04-23,Chennai,Petrol,100.8
2025-04-23,Kolkata,Petrol,105.01
2025-04-23,Delhi,Diesel,87.67
2025-04-23,Mumbai,Diesel,90.03
2025-04-23,Chennai,Diesel,92.39
2025-04-23,Kolkata,Diesel,91.82
2025-04-22,Delhi,Petrol,94.77
2025-04-22,Mumbai,Petrol,103.5
2025-04-22,Chennai,Petrol,100.8
2025-04-22,Kolkata,Petrol,105.01
2025-04-22,Delhi,Diesel,87.67
2025-04-22,Mumbai,Diesel,90.03
2025-04-22,Chennai,Diesel,92.39
2025-04-22,Kolkata,Diesel,91.82
2025-04-21,Delhi,Petrol,94.77
2025-04-21,Mumbai,Petrol,103.5
2025-04-21,Chennai,Petrol,100.8
2025-04-21,Kolkata,Petrol,105.01
2025-04-21,Delhi,Diesel,87.67
2025-04-21,Mumbai,Diesel,90.03
2025-04-21,Chennai,Diesel,92.39
2025-04-21,Kolkata,Diesel,91.82
2025-04-20,Delhi,Petrol,94.77
2025-04-20,Mumbai,Petrol,103.5
2025-04-20,Chennai,Petrol,100.8
2025-04-20,Kolkata,Petrol,105.01
2025-04-20,Delhi,Diesel,87.67
2025-04-20,Mumbai,Diesel,90.03
2025-04-20,Chennai,Diesel,92.39
2025-04-20,Kolkata,Diesel,91.82
2025-04-19,Delhi,Petrol,94.77
2025-04-19,Mumbai,Petrol,103.5
2025-04-19,Chennai,Petrol,100.8
2025-04-19,Kolkata,Petrol,105.01
2025-04-19,Delhi,Diesel,87.67
2025-04-19,Mumbai,Diesel,90.03
2025-04-19,Chennai,Diesel,92.39
2025-04-19,Kolkata,Diesel,91.82
2025-04-18,Delhi,Petrol,94.77
2025-04-18,Mumbai,Petrol,103.5
2025-04-18,Chennai,Petrol,100.8
2025-04-18,Kolkata,Petrol,105.01
2025-04-18,Delhi,Diesel,87.67
2025-04-18,Mumbai,Diesel,90.03
2025-04-18,Chennai,Diesel,92.39
2025-04-18,Kolkata,Diesel,91.82
2025-04-17,Delhi,Petrol,94.77
2025-04-17,Mumbai,Petrol,103.5
2025-04-17,Chennai,Petrol,100.8
2025-04-17,Kolkata,Petrol,105.01
2025-04-17,Delhi,Diesel,87.67
2025-04-17,Mumbai,Diesel,90.03
2025-04-17,Chennai,Diesel,92.39
2025-04-17,Kolkata,Diesel,91.82
2025-04-16,Delhi,Petrol,94.77
2025-04-16,Mumbai,Petrol,103.5
2025-04-16,Chennai,Petrol,100.8
2025-04-16,Kolkata,Petrol,105.01
2025-04-16,Delhi,Diesel,87.67
2025-04-16,Mumbai,Diesel,90.03
2025-04-16,Chennai,Diesel,92.39
2025-04-16,Kolkata,Diesel,91.82
2025-04-15,Delhi,Petrol,94.77
2025-04-15,Mumbai,Petrol,103.5
2025-04-15,Chennai,Petrol,100.8
2025-04-15,Kolkata,Petrol,105.01
2025-04-15,Delhi,Diesel,87.67
2025-04-15,Mumbai,Diesel,90.03
2025-04-15,Chennai,Diesel,92.39
2025-04-15,Kolkata,Diesel,91.82
2025-04-14,Delhi,Petrol,94.77
2025-04-14,Mumbai,Petrol,103.5
2025-04-14,Chennai,Petrol,100.8
2025-04-14,Kolkata,Petrol,105.01
2025-04-14,Delhi,Diesel,87.67
2025-04-14,Mumbai,Diesel,90.03
2025-04-14,Chennai,Diesel,92.39
2025-04-14,Kolkata,Diesel,91.82
2025-04-13,Delhi,Petrol,94.77
2025-04-13,Mumbai,Petrol,103.5
2025-04-13,Chennai,Petrol,100.8
2025-04-13,Kolkata,Petrol,105.01
2025-04-13,Delhi,Diesel,87.67
2025-04-13,Mumbai,Diesel,90.03
2025-04-13,Chennai,Diesel,92.39
2025-04-13,Kolkata,Diesel,91.82
2025-04-12,Delhi,Petrol,94.77
2025-04-12,Mumbai,Petrol,103.5
2025-04-12,Chennai,Petrol,100.8
2025-04-12,Kolkata,Petrol,105.01
2025-04-12,Delhi,Diesel,87.67
2025-04-12,Mumbai,Diesel,90.03
2025-04-12,Chennai,Diesel,92.39
2025-04-12,Kolkata,Diesel,91.82
2025-04-11,Delhi,Petrol,94.77
2025-04-11,Mumbai,Petrol,103.5
2025-04-11,Chennai,Petrol,100.8
2025-04-11,Kolkata,Petrol,105.01
2025-04-11,Delhi,Diesel,87.67
2025-04-11,Mumbai,Diesel,90.03
2025-04-11,Chennai,Diesel,92.39
2025-04-11,Kolkata,Diesel,91.82
2025-04-10,Delhi,Petrol,94.77
2025-04-10,Mumbai,Petrol,103.5
2025-04-10,Chennai,Petrol,100.8
2025-04-10,Kolkata,Petrol,105.01
2025-04-10,Delhi,Diesel,87.67
2025-04-10,Mumbai,Diesel,90.03
2025-04-10,Chennai,Diesel,92.39
2025-04-10,Kolkata,Diesel,91.82
2025-04-09,Delhi,Petrol,94.77
2025-04-09,Mumbai,Petrol,103.5
2025-04-09,Chennai,Petrol,100.8
2025-04-09,Kolkata,Petrol,105.01
2025-04-09,Delhi,Diesel,87.67
2025-04-09,Mumbai,Diesel,90.03
2025-04-09,Chennai,Diesel,92.39
2025-04-09,Kolkata,Diesel,91.82
2025-04-08,Delhi,Petrol,94.77
2025-04-08,Mumbai,Petrol,103.5
2025-04-08,Chennai,Petrol,100.8
2025-04-08,Kolkata,Petrol,105.01
2025-04-08,Delhi,Diesel,87.67
2025-04-08,Mumbai,Diesel,90.03
2025-04-08,Chennai,Diesel,92.39
2025-04-08,Kolkata,Diesel,91.82
2025-04-07,Delhi,Petrol,94.77
2025-04-07,Mumbai,Petrol,103.5
2025-04-07,Chennai,Petrol,100.8
2025-04-07,Kolkata,Petrol,105.01
2025-04-07,Delhi,Diesel,87.67
2025-04-07,Mumbai,Diesel,90.03
2025-04-07,Chennai,Diesel,92.39
2025-04-07,Kolkata,Diesel,91.82
2025-04-06,Delhi,Petrol,94.77
2025-04-06,Mumbai,Petrol,103.5
2025-04-06,Chennai,Petrol,100.8
2025-04-06,Kolkata,Petrol,105.01
2025-04-06,Delhi,Diesel,87.67
2025-04-06,Mumbai,Diesel,90.03
2025-04-06,Chennai,Diesel,92.39
2025-04-06,Kolkata,Diesel,91.82
2025-04-05,Delhi,Petrol,94.77
2025-04-05,Mumbai,Petrol,103.5
2025-04-05,Chennai,Petrol,100.8
2025-04-05,Kolkata,Petrol,105.01
2025-04-05,Delhi,Diesel,87.67
2025-04-05,Mumbai,Diesel,90.03
2025-04-05,Chennai,Diesel,92.39
2025-04-05,Kolkata,Diesel,91.82
2025-04-04,Delhi,Petrol,94.77
2025-04-04,Mumbai,Petrol,103.5
2025-04-04,Chennai,Petrol,100.8
2025-04-04,Kolkata,Petrol,105.01
2025-04-04,Delhi,Diesel,87.67
2025-04-04,Mumbai,Diesel,90.03
2025-04-04,Chennai,Diesel,92.39
2025-04-04,Kolkata,Diesel,91.82
2025-04-03,Delhi,Petrol,94.77
2025-04-03,Mumbai,Petrol,103.5
2025-04-03,Chennai,Petrol,100.8
2025-04-03,Kolkata,Petrol,105.01
2025-04-03,Delhi,Diesel,87.67
2025-04-03,Mumbai,Diesel,90.03
2025-04-03,Chennai,Diesel,92.39
2025-04-03,Kolkata,Diesel,91.82
2025-04-02,Delhi,Petrol,94.77
2025-04-02,Mumbai,Petrol,103.5
2025-04-02,Chennai,Petrol,100.8
2025-04-02,Kolkata,Petrol,105.01
2025-04-02,Delhi,Diesel,87.67
2025-04-02,Mumbai,Diesel,90.03
2025-04-02,Chennai,Diesel,92.39
2025-04-02,Kolkata,Diesel,91.82
2025-04-01,Delhi,Petrol,94.77
2025-04-01,Mumbai,Petrol,103.5
2025-04-01,Chennai,Petrol,100.8
2025-04-01,Kolkata,Petrol,105.01
2025-04-01,Delhi,Diesel,87.67
2025-04-01,Mumbai,Diesel,90.03
2025-04-01,Chennai,Diesel,92.39
2025-04-01,Kolkata,Diesel,91.82
2025-03-31,Delhi,Petrol,94.77
2025-03-31,Mumbai,Petrol,103.5
2025-03-31,Chennai,Petrol,100.8
2025-03-31,Kolkata,Petrol,105.01
2025-03-31,Delhi,Diesel,87.67
2025-03-31,Mumbai,Diesel,90.03
2025-03-31,Chennai,Diesel,92.39
2025-03-31,Kolkata,Diesel,91.82
2025-03-30,Delhi,Petrol,94.77
